"Node","X","Y","Z","Displacement in X","Displacement in Y","Displacement in Z","Displacement Magnitude"
105,20,123,60,-1.10023949330142E-05,4.46273467380777E-06,-3.26075622042322E-06,1.2312644970105E-05
106,20,141,45,-9.82122226982185E-06,3.21948067525202E-06,-4.79136796900291E-06,1.13920441408008E-05
107,105,163,30,-2.24567768018941E-05,-2.02853603055823E-06,7.99087851102333E-06,2.39222892327489E-05
108,105,82,120,-1.84313190758357E-05,-2.30917646089852E-06,4.4097544838292E-06,1.90916671197276E-05
109,105,88,105,-1.85653250683205E-05,4.3728221467226E-06,7.10153531674238E-06,2.03525102204671E-05
110,105,96,90,-1.59425217318013E-05,-6.53717824378221E-06,1.30525123353543E-06,1.72801151426309E-05
111,105,107,75,-1.47572314347454E-05,-7.16769099003648E-06,8.70200845812656E-07,1.64289051144421E-05
112,105,123,60,-1.58104568973441E-05,-9.03664620011026E-06,-1.08531966490189E-06,1.82430655489632E-05
113,105,141,45,-1.86763481445515E-05,-4.12972252044688E-06,4.8464877368192E-06,1.97319292390662E-05
114,115,163,30,-2.24524876454267E-05,2.70829938511377E-07,8.84294456195782E-06,2.41326587604742E-05
115,115,82,120,-1.84302896177165E-05,9.74596038154885E-07,5.63487818895646E-06,1.92970791840339E-05
116,115,88,105,-1.85614322586445E-05,-9.40284621009646E-06,1.50288661222531E-06,2.08614225908057E-05
117,115,96,90,-1.59391088907905E-05,-1.74663659584901E-06,5.6085825484723E-06,1.69871165838545E-05
118,115,107,75,-1.47535979542274E-05,-2.690188823602E-06,4.94396811347428E-06,1.57907754467179E-05
119,115,123,60,-1.58070851576702E-05,2.37253067100441E-08,7.87683531884586E-06,1.76609467105315E-05
120,115,141,45,-1.86720817553254E-05,-1.84252648366966E-06,5.68082060254011E-06,1.96039093968225E-05
121,10,163,240,-3.50510022445592E-05,-7.37134272940425E-07,-7.9080600558319E-06,3.59395817884833E-05
122,10,82,150,-2.06543485325071E-05,-9.41017565389113E-07,-5.58684536929365E-06,2.14172936791987E-05
123,10,88,165,-2.2729896353024E-05,-2.11401155268214E-06,-5.12418584667363E-06,2.33960362808605E-05
124,10,96,180,-2.48928131561092E-05,-3.06355058335941E-06,-4.62396018775508E-06,2.55033036452086E-05
125,10,107,195,-2.71888721424169E-05,-3.43248364230314E-06,-4.36111437554095E-06,2.77495230756841E-05
126,10,123,210,-2.97125234907752E-05,-3.0186607631786E-06,-4.81393650050403E-06,3.02509561770187E-05
127,10,141,225,-3.23003829596387E-05,-1.95803833960613E-06,-6.10002592806672E-06,3.29296062806978E-05
128,20,163,240,-3.504885849627E-05,-2.19662561056909E-07,-6.84918765565612E-06,3.57124922831588E-05
129,20,82,150,-2.06510958864533E-05,-3.59664086624977E-07,-4.42792994293842E-06,2.11235338697451E-05
130,20,88,165,-2.27273677645585E-05,-1.55884493287754E-06,-3.96987310509812E-06,2.31240812898769E-05
131,20,96,180,-2.4890379272152E-05,-2.52801100691815E-06,-3.47606048145137E-06,2.52587572226621E-05
132,20,107,195,-2.71864887948952E-05,-2.90973656325184E-06,-3.22368284636829E-06,2.75311436550764E-05
133,20,123,210,-2.97102394676522E-05,-2.50045981516631E-06,-3.69682406379887E-06,3.00435872803363E-05
134,20,141,225,-3.22981501412862E-05,-1.43996809314219E-06,-5.01020021190651E-06,3.27161445898156E-05
135,105,163,240,-5.78117704117351E-05,-1.03329648767063E-07,7.59464533296819E-06,5.83085766666368E-05
